,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
65,63.5,59.3,983.4,6.5,3.9,8.0,71.1,46.0,0.65,0,1,0,0,0,0,722197_53819,2017-02-22
66,73.5,62.5,1024.0,10.0,8.4,13.0,84.0,66.0,0.0,0,0,0,0,0,0,722090_3875,2017-10-04
67,43.8,40.8,1010.9,7.9,9.5,17.1,55.9,37.0,1.45,0,1,0,0,0,0,723160_13870,2017-01-07
68,60.7,54.3,975.2,6.7,22.2,36.9,73.9,57.0,0.23,0,1,0,0,0,0,722190_13874,2017-09-11
69,72.0,68.7,975.1,10.0,6.6,12.0,80.1,68.0,0.14,0,1,0,0,0,0,722185_53838,2017-08-09
70,71.3,68.1,1003.2,6.5,21.4,38.1,84.9,61.0,1.37,1,1,0,0,0,0,722070_3822,2017-09-11
71,70.0,67.2,986.6,8.2,2.9,17.1,79.0,66.0,0.37,0,1,0,0,1,0,723200_93801,2017-05-23
72,74.9,71.3,974.6,8.2,3.7,8.0,84.9,68.0,0.26,1,1,0,0,0,0,722185_53838,2017-08-11
73,81.4,73.8,998.6,8.1,3.6,8.0,93.0,77.0,0.0,0,1,0,0,1,0,722181_13837,2017-08-14
74,46.4,42.9,994.9,5.3,3.4,7.0,52.0,42.1,0.62,0,1,0,0,0,0,723200_93801,2017-01-01
75,69.4,62.7,972.0,10.0,6.3,15.0,79.0,62.6,0.39,0,1,0,0,1,0,722195_3888,2017-05-24
76,63.6,61.4,993.7,7.6,5.3,25.1,73.0,59.0,0.41,1,1,0,0,1,0,722255_93842,2017-01-21
77,74.7,72.0,1003.6,8.2,4.4,20.0,88.0,70.0,0.04,1,1,0,0,1,0,722160_13869,2017-05-23
78,55.3,51.1,984.8,7.0,3.5,13.0,64.9,46.0,0.0,1,1,0,0,0,0,722195_3888,2017-02-07
79,81.5,75.2,1012.2,9.3,14.8,26.0,86.0,77.0,0.73,0,1,0,0,0,0,722137_13878,2017-08-27
80,79.1,74.5,1010.2,8.4,2.8,8.0,87.1,73.9,0.03,0,1,0,0,0,0,723160_13870,2017-06-21
81,39.4,34.4,966.8,8.5,9.2,15.9,46.0,32.0,0.14,0,1,0,0,0,0,722185_53838,2017-03-14
82,73.3,72.5,988.8,7.6,2.2,6.0,89.1,68.0,0.15,1,1,0,0,1,0,723110_13873,2017-06-20
83,39.3,35.8,992.2,9.0,4.8,9.9,44.1,34.0,0.03,0,1,0,0,0,0,722197_53819,2017-03-13
84,72.0,69.4,997.8,9.1,6.0,12.0,82.9,66.0,0.0,0,1,0,0,1,0,722166_93845,2017-05-24
85,63.0,61.8,977.1,7.9,7.7,25.1,66.9,57.0,3.01,0,1,0,0,0,0,723110_13873,2017-09-12
86,58.1,53.1,1002.6,6.6,3.3,12.0,79.0,49.5,0.0,1,0,0,0,0,0,747810_13857,2017-01-04
87,81.1,74.0,1011.6,7.7,3.2,13.0,93.0,73.4,0.17,0,1,0,0,1,0,723160_13870,2017-06-30
88,74.6,64.4,1024.0,10.0,8.7,15.0,82.6,68.0,0.0,0,1,0,0,0,0,747804_13824,2017-10-04
89,68.6,64.9,984.1,7.1,3.5,14.0,88.0,62.1,0.86,0,1,0,0,1,0,723110_13873,2017-09-06
90,55.7,51.0,979.5,6.3,4.0,15.0,66.9,37.9,0.01,1,1,0,0,0,0,722196_53863,2017-02-07
91,57.4,50.3,1013.0,8.5,2.7,12.0,75.4,42.3,0.0,1,1,0,0,0,0,722250_13829,2017-02-02
92,62.2,55.9,971.6,7.4,4.5,15.9,69.1,57.2,2.02,1,1,0,0,1,0,722270_13864,2017-04-05
93,76.1,70.8,1002.5,9.5,3.6,12.0,91.0,71.1,0.03,0,1,0,0,1,0,722181_13837,2017-08-31
94,74.4,72.8,989.3,7.8,1.4,7.0,88.0,69.1,0.44,1,1,0,0,0,0,722197_53819,2017-06-20
95,61.6,55.7,974.7,7.7,3.9,20.0,81.0,55.0,0.0,1,1,0,0,1,0,722196_53863,2017-04-05
96,80.3,75.1,998.4,9.5,7.4,15.9,89.1,73.0,0.01,0,1,0,0,0,0,722181_13837,2017-10-08
97,50.9,36.2,1011.5,9.2,3.9,11.1,75.4,28.2,0.0,0,1,0,0,0,0,722250_13829,2017-01-31
98,72.9,70.2,982.1,7.7,3.1,11.1,88.0,68.0,0.05,1,1,0,0,1,0,722196_53863,2017-06-20
99,75.8,74.0,985.4,9.0,2.4,8.9,84.0,71.1,1.09,0,1,0,0,0,0,722156_53873,2017-10-09
100,79.9,77.6,1014.3,9.2,4.6,11.1,86.0,75.0,0.0,0,0,0,0,0,0,722137_13878,2017-10-07
101,76.9,72.8,992.5,6.8,0.9,5.1,89.1,68.0,0.95,0,1,0,0,1,0,722156_53873,2017-07-05
102,75.4,70.5,987.1,8.9,5.1,8.0,84.9,55.0,0.0,0,0,0,0,0,0,722197_53819,2017-10-07
103,77.0,73.4,1003.8,8.5,2.3,8.9,93.9,73.9,0.58,0,1,0,0,1,0,722255_93842,2017-07-25
104,54.0,51.5,963.0,9.3,8.5,12.0,64.9,50.0,1.1,0,1,0,0,0,0,722185_53838,2017-04-24
105,79.6,73.4,1019.0,9.0,3.3,8.9,90.0,73.0,2.05,1,0,0,0,0,0,722070_3822,2017-08-10
106,79.3,72.3,1005.7,9.7,5.0,13.0,91.0,69.1,0.36,0,1,0,0,1,0,722180_3820,2017-06-05
